"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"03.06.","18:30","Arena 2 Premium","Košarka","CSKA - Zenit, finale G4","VTB LIGA"
"03.06.","19:00","Arena 1 Premium","Košarka","Real Madrid - Baskonia, G1","ŠPANSKA LIGA"
"03.06.","19:00","Arena 3 Premium","Fudbal","Finska - Srbija","UEFA LIGA NACIJA Ž"
"03.06.","21:00","Arena 2 Premium","Košarka","Lyon - Monaco, polufinale G1","FRANCUSKA LIGA"
"03.06.","21:15","Arena 1 Premium","Košarka","Unicaja - Barcelona, G1","ŠPANSKA LIGA"
"04.06.","17:00","Arena 3 Premium","Odbojka","Holandija - Japan","Liga Nacija (Ž)"
"04.06.","18:00","Arena 1 Premium","Fudbal","Srbija U21 - Grčka U21","PRIJATELJSKE UTAKMICE"
"04.06.","18:30","Arena Sport 1","Košarka","Wurzburg - Ulm, G2","NEMAČKA LIGA"
"04.06.","19:00","Arena 3 Premium","Košarka","Joventut - Tenerife, G2","ŠPANSKA LIGA"
"04.06.","19:00","Arena Sport 2","Odbojka","SAD - Italija","Liga Nacija (Ž)"
"04.06.","19:00","Arena Sport 4","Košarka","Ilirija - Cibona","ABA LIGA"
"04.06.","20:00","Arena 1 Premium","Košarka","Heidelberg - Bayern, G2","NEMAČKA LIGA"
"04.06.","20:00","Arena Sport 3","Rukomet","Magdeburg - Flensburg","BUNDESLIGA"
"04.06.","20:45","Arena Sport 1","Košarka","Brescia - Trapani, polufinale G3","ITALIJANSKA LIGA"
"04.06.","21:00","Arena 2 Premium","Fudbal","Nemačka - Portugal, polufinale","UEFA LIGA NACIJA"
"04.06.","21:00","Arena Sport 2","Košarka","Paris - Bourg, polufinale G1","FRANCUSKA LIGA"
"04.06.","21:15","Arena 3 Premium","Košarka","Gran Canaria - Valencia, G2","ŠPANSKA LIGA"
"04.06.","22:00","Arena 1 Premium","Odbojka","Dominikanska Republika - Srbija","Liga Nacija (Ž)"
"05.06.","02:00","Arena 1 Premium","Hokej","Edmonton Oilers - Florida Panthers, finale G1","NHL"
"05.06.","13:10","Arena 1 Premium","Fudbal","Australija - Japan","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"05.06.","13:30","Arena 2 Premium","Odbojka","Kina - Poljska","Liga Nacija (Ž)"
"05.06.","18:00","Arena 1 Premium","Fudbal","UAE - Uzbekistan","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"05.06.","19:00","Arena Sport 2","Rukomet","Fuchse Berlin -  Gummersbach","BUNDESLIGA"
"05.06.","19:30","Arena Sport 1","Košarka","Fenerbahce - Bahcesehir, polufinale G1","TURSKA LIGA"
"05.06.","20:15","Arena Sport 3","Fudbal","Irak - Južna Koreja","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"05.06.","20:45","Arena 3 Premium","Košarka","Armani - Virtus, polufinale G3","ITALIJANSKA LIGA"
"05.06.","21:00","Arena 1 Premium","Košarka","Finale: Budućnost - Partizan, G1","ABA LIGA"
"05.06.","21:00","Arena 2 Premium","Fudbal","Španija - Francuska, polufinale","UEFA LIGA NACIJA"
"05.06.","21:00","Arena Sport 2","Košarka","Lyon - Monaco, polufinale G2","FRANCUSKA LIGA"
"05.06.","22:15","Arena Sport 3","Bejzbol","Los Angeles Dodgers - NY Mets","Major League Baseball"
"05.06.","22:30","Arena Sport 1","Odbojka","Nemačka - Italija","Liga Nacija (Ž)"
"06.06.","01:00","Arena 2 Premium","Fudbal","Ekvador - Brazil","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"06.06.","01:00","Arena Sport 1","Fudbal","Paragvaj - Urugvaj","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"06.06.","02:00","Arena 3 Premium","Odbojka","SAD - Brazil","Liga Nacija (Ž)"
"06.06.","02:30","Arena 1 Premium","Košarka","Finale: Oklahoma - Indiana, G1","NBA"
"06.06.","03:00","Arena 2 Premium","Fudbal","Čile - Argentina","KVALIFIKACIJE ZA SVETSKO PRVENSTVO"
"06.06.","09:00","Arena 2 Premium","Moto Sport","Aragon: Slobodan Trening 1","MOTO 3"
