Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
13.09.,01:30,Arena Premium 1,Fudbal,Botafogo - Bragantino,BRAZILSKA LIGA
13.09.,02:00,Adrenalin,Boks,Ryan Garcia vs. Conor Benn,Zuffa Boxing
13.09.,09:45,Adrenalin,Moto Sport,Španija: Trka 2,FORMULA 3
13.09.,10:00,Arena Sport 2,Vaterpolo,Finalni dan,FUTOG OPEN 2026
13.09.,11:00,Arena Sport 8,Moto Sport,San Marino: Trka,MOTO 3
13.09.,11:25,Adrenalin,Moto Sport,Španija: Trka,FORMULA 2
13.09.,12:15,Arena Sport 1,Basket 3x3,Četvrtfinale 1,FIBA 3x3 Europe Cup Ž
13.09.,12:15,Arena Sport 8,Moto Sport,San Marino: Trka,MOTO 2
13.09.,12:45,Arena Sport 1,Basket 3x3,Četvrtfinale 2,FIBA 3x3 Europe Cup Ž
13.09.,13:00,Arena Premium 1,Fudbal,Rangers - Celtic,ŠKOTSKI LIGA KUP
13.09.,13:00,Arena Premium 5,Fudbal,Sheffield United - Wolverhampton,CHAMPIONSHIP
13.09.,13:15,Arena Sport 1,Basket 3x3,Četvrtfinale 1,FIBA 3x3 Europe Cup
13.09.,13:30,Arena Premium 3,Fudbal,Osnabruck - Hertha,NEMAČKA 2. LIGA
13.09.,13:30,Arena Sport 3,Fudbal,Karlsruhe - Cottbus,NEMAČKA 2. LIGA
13.09.,13:30,Arena Sport 7,Moto Sport,Sachsenring: Trka 2,DTM
13.09.,13:45,Arena Sport 1,Basket 3x3,Četvrtfinale 2,FIBA 3x3 Europe Cup
13.09.,14:00,Arena Premium 4,Fudbal,Celta - Malaga,ŠPANSKA LIGA
13.09.,14:00,Arena Sport 6,Rukomet,Odense - Podravka,EHF LIGA ŠAMPIONA (Ž)
13.09.,14:00,Arena Sport 8,Moto Sport,San Marino: Trka,MOTO GP
13.09.,14:15,Arena Sport 1,Basket 3x3,Četvrtfinale 3,FIBA 3x3 Europe Cup Ž
13.09.,14:15,Arena Sport 10,Konjički sport,Sombor - Hollo Cup,KASAČKE TRKE
13.09.,14:15,Adrenalin,Moto Sport,Španija: Trka,FORMULA 1
13.09.,14:45,Arena Premium 2,Košarka,Aris - Crvena zvezda,PRIJATELJSKA UTAKMICA
